POST DATE,VENDOR,DESCRIPTION,QTY,INVOICE AMT,,,,,
08/21/14,A. Rifkin Co.,Seals - White Camber Bar - Coded,1, $	112.80 ,,,,,
08/21/14,A. Rifkin Co.,Seals - Freight,1, $	12.50 ,,,,,
08/21/14,A. Rifkin Co.,Seals - Tax,1, $	9.87 ,,,,,
11/10/14,Abbey Party Rents,Tent - Canopy Clear Wall 10 x 10,8, $	800.00 ,,,,,
11/10/14,Abbey Party Rents,Tent - Canopy Standard Frame Clear 10 x 10,2, $	800.00 ,,,,,
11/10/14,Abbey Party Rents,Purchase Order Increase,1, $	500.00 ,,,,,
10/29/14,Abbey Party Rents,Tent - Canopy Clear Wall 10 x 10,1, $	400.00 ,,,,,
10/29/14,Abbey Party Rents,Tent - Canopy Standard Frame Clear 10 x 10,1, $	400.00 ,,,,,
10/28/14,Abbey Party Rents,Tent - Delivery / Pickup Special,1, $	350.00 ,,,,,
10/29/14,Abbey Party Rents,Tent - Delivery / Pickup Special,1, $	350.00 ,,,,,
11/10/14,Abbey Party Rents,Tent - Delivery / Pickup Special,1, $	350.00 ,,,,,
10/29/14,Abbey Party Rents,Tent - Tenting Labor,1, $	300.00 ,,,,,
11/10/14,Abbey Party Rents,Tent - Tenting Labor,1, $	300.00 ,,,,,
10/28/14,Abbey Party Rents,Tent - Canopy Clear Wall 10 x 10,1, $	200.00 ,,,,,
10/28/14,Abbey Party Rents,Tent - Canopy Standard Frame Clear 10 x 10,1, $	200.00 ,,,,,
11/10/14,Abbey Party Rents,Tent - Water Barrel 55 Gallon,8, $	160.00 ,,,,,
10/28/14,Abbey Party Rents,Tent - Tenting Labor,1, $	150.00 ,,,,,
10/29/14,Abbey Party Rents,Tent - Water Barrel 55 Gallon,1, $	80.00 ,,,,,
10/28/14,Abbey Party Rents,Tent - Water Barrel 55 Gallon,1, $	40.00 ,,,,,
09/09/14,Alma Street Media,"PW Manual - Price / Print & Bind, No Perf","4,800"," $	17,886.00 ",,,,,
09/09/14,Alma Street Media,PW Manual - Tax,1," $	1,727.60 ",,,,,
09/09/14,Alma Street Media,PW Manual - Add To Perforate 20 Pages,1," $	1,500.00 ",,,,,
09/09/14,Alma Street Media,PW Manual - AC's Output New Plates to Replace New Art Files - Pages 24 & 61,1, $	286.00 ,,,,,
09/09/14,Alma Street Media,"PW Manual - AC's - Blue Line Corrections - New Files for PG. 17, 32, & 73",1, $	72.00 ,,,,,
07/01/14,Anchor Fence,Brooks Hall Fence,1," $	1,498.00 ",,,,,
04/02/15,Asian Week Foundation,Street Fair - Asian Heritage ,1, $	341.00 ,,,,,
09/12/14,Auspicious Enterprises Inc.,Ads - PSA - Education for Election Novmeber 2014,1, $	635.00 ,,,,,
09/09/14,Autumn Press,Rosters - Roster Print & Assembly,1," $	58,110.42 ",,,,,
07/09/14,Autumn Press,Rosters - Roster Print & Assembly,1," $	57,189.42 ",,,,,
09/09/14,Autumn Press,Rosters - Tax,1," $	5,084.66 ",,,,,
07/09/14,Autumn Press,Rosters - Tax,1," $	5,004.07 ",,,,,
07/09/14,Autumn Press,Rosters - Freight,1, $	475.00 ,,,,,
09/09/14,Autumn Press,Rosters - Freight,1, $	475.00 ,,,,,
10/08/14,Banner Uniform,"Uniform -  SM - SP14 - Black - 5XL  RG, Long Sleeve",2, $	49.98 ,,,,,
10/08/14,Banner Uniform,"Uniform -  BUC - EMBSHIRT - 1, Embroidery Basic Logo",4, $	26.40 ,,,,,
10/08/14,Banner Uniform,"Uniform - SM - SP14 - Black - M  RG, Long Sleeve",1, $	22.99 ,,,,,
10/08/14,Banner Uniform,"Uniform -  SM - SP14 - Black - XL  RG, Long Sleeve",1, $	22.99 ,,,,,
10/08/14,Banner Uniform,"Uniform -  BUC - EMBSHIRT - 1, Embroidery Set Up Charge",1, $	10.50 ,,,,,
10/08/14,Banner Uniform,Tax,1, $	8.40 ,,,,,
07/18/14,Bay Area Community Resources,Excelsior Arts & Music Festival,1, $	285.00 ,,,,,
07/29/14,Bernal Heights Neighborhood Center,Bernal Heights Fiesta 2014,1, $	225.00 ,,,,,
11/10/14,BlueLine Rental,Purchase Order Increase,1," $	1,000.00 ",,,,,
11/17/14,BlueLine Rental,Tower Lights - Rental,1, $	450.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Fuel,62, $	434.00 ,,,,,
10/28/14,BlueLine Rental,Tower Lights - Delivery Charge,1, $	320.00 ,,,,,
10/28/14,BlueLine Rental,Tower Lights - Pickup Charge,1, $	320.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Delivery Charge,1, $	320.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Pickup Charge,1, $	320.00 ,,,,,
